username,1_1,1_2,2_1,2_2,score
user_02_0016,90,82,0,98,270
user_01_0006,88,63,95,,246
user_01_0007,74,68,94,,236
user_02_0004,91,76,66,,233
user_01_0002,81,72,73,,226
user_02_0020,98,46,77,,221
user_03_0020,74,66,71,,211
user_03_0007,70,96,40,,206
user_01_0005,64,94,47,,205
user_03_0015,15,90,97,,202
user_03_0017,23,100,78,,201
user_02_0018,50,65,82,,197
user_03_0014,72,77,43,,192
user_03_0018,37,54,88,,179
user_02_0006,83,82,,,165
user_03_0005,91,71,,,162
user_03_0022,75,21,63,,159
user_03_0019,19,47,79,,145
user_02_0010,88,55,,,143
user_03_0008,39,98,,,137
user_02_0013,53,81,,,134
user_02_0003,89,40,,,129
user_02_0005,29,69,29,,127
user_03_0006,40,87,,,127
user_02_0007,87,27,10,,124
user_02_0012,49,72,,,121
user_01_0010,14,71,32,,117
user_03_0003,51,65,,,116
user_02_0008,78,32,,,110
user_01_0011,70,23,16,,109
user_02_0015,69,40,,,109
user_03_0009,81,25,,,106
user_02_0009,41,50,13,,104
user_03_0001,79,24,,,103
user_03_0011,2,87,14,,103
user_01_0004,41,35,26,,102
user_02_0002,54,19,29,,102
user_02_0001,5,6,90,,101
user_03_0021,10,32,58,,100
user_03_0012,41,58,,,99
user_02_0011,13,35,48,,96
user_01_0008,95,,,,95
user_01_0012,17,1,71,,89
user_02_0019,79,8,,,87
user_03_0010,55,13,,,68
user_03_0002,60,6,,,66
user_03_0013,49,,,,49
user_03_0016,49,,,,49
user_02_0017,47,,,,47
user_01_0009,35,4,,,39
user_01_0001,26,8,,,34
user_03_0004,28,0,,0,28
user_02_0014,18,,,,18
user_01_0003,17,,,,17
