username,1_1,1_2,2_1,2_2,score
user_02_0002,93,94,82,,269
user_03_0003,79,50,,99,228
user_03_0002,59,74,92,,225
user_02_0013,81,,42,86,209
user_01_0007,1,97,79,,177
user_02_0005,84,51,,33,168
user_02_0012,91,76,,,167
user_02_0010,62,6,26,69,163
user_03_0005,79,83,,,162
user_03_0020,41,48,71,,160
user_02_0003,73,48,37,,158
user_01_0001,61,62,32,,155
user_02_0015,67,17,70,,154
user_01_0002,67,,86,,153
user_01_0012,40,84,18,,142
user_03_0015,57,85,,,142
user_01_0003,89,20,,29,138
user_01_0010,82,49,,,131
user_01_0009,46,73,9,,128
user_02_0016,45,38,35,,118
user_03_0021,10,33,75,,118
user_03_0016,82,35,,,117
user_02_0009,75,13,27,,115
user_03_0008,5,98,10,,113
user_03_0022,96,13,,,109
user_01_0011,10,98,,,108
user_02_0020,93,15,,,108
user_02_0019,30,77,,,107
user_03_0017,86,21,,,107
user_02_0018,100,6,,,106
user_01_0004,23,,82,,105
user_01_0005,29,,75,,104
user_03_0007,3,100,,,103
user_03_0018,61,41,,,102
user_02_0006,50,20,30,,100
user_01_0008,47,2,47,,96
user_03_0013,29,30,36,,95
user_02_0008,1,,,93,94
user_03_0019,25,69,,,94
user_02_0007,86,,,,86
user_02_0004,38,47,,,85
user_02_0011,79,6,,,85
user_03_0014,78,,6,,84
user_03_0001,22,61,,,83
user_03_0012,17,64,,,81
user_03_0006,77,,,,77
user_02_0001,71,,,,71
user_03_0009,35,31,,,66
user_02_0017,0,14,31,,45
user_03_0004,0,43,,,43
user_01_0006,34,,,6,40
user_03_0010,25,8,,,33
user_02_0014,11,,14,,25
user_03_0011,22,,,,22
