order,coupon,currency,driver,fact_km,plan_km,plan_time,user,zone
34341133,,RUB,17144870,null,9.01295287961829,10.783333333333333,14531103,moscow
7178069,,RUB,17721342,null,1.5180014415967087,6.583333333333333,8019378,moscow
846666,,RUB,94414125,9.427,9.88432007605117,22.016666666666666,15232981,moscow
87372383,,RUB,7615016,45.956,44.179567571676245,55.8,98174968,moscow
0155631,,RUB,01459241,11.256,9.573120388869025,15.8,7303325,moscow
41936143,,RUB,16238153,4.901,5.0447155520866165,20.916666666666668,86518093,podolsk
05698987,,RUB,94414125,8.773,8.395582968858314,28.85,4535962,vidnoe
23651704,,RUB,90637045,1.68,1.7622731274318213,6.083333333333333,91259695,moscow
1040900,,RUB,17144870,19.001,19.302229416004117,27.083333333333332,39001836,moscow
5066128,,RUB,4121681,null,9.766288740414522,25.15,98193551,moscow
75159638,,RUB,93261902,6.521,6.503937394687795,17.5,29971842,moscow
3714789,,RUB,52466634,null,9.635769211313432,18.666666666666668,35707124,moscow
36010565,,RUB,0990780,1.177,0.8550724706464237,3.3833333333333333,95382791,moscow
46984770,,RUB,17721342,4.526,4.31928323893811,13.183333333333334,8882753,moscow
7927410,,RUB,22227102,22.237,13.073557467890824,31.1,2558338,moscow
83184320,,RUB,74391989,3.501,5.479119409187487,7.316666666666666,29240747,ramenskoe
5682955,,RUB,52299060,14.734,10.473150209492376,24.2,03513435,moscow
5229469,,RUB,40454339,null,5.584272765037898,19.283333333333335,40937243,moscow
8078566,,RUB,39634995,2.328,2.323168142637626,7.566666666666666,07283913,moscow
8554531,,RUB,21631633,4.503,4.5782390711957754,9.933333333333334,04093026,moscow
77898274,,RUB,76028546,null,28.88109716660213,41.983333333333334,44376265,moscow
05937609,,RUB,46395068,4.873,5.3091203103430695,11.283333333333333,141744,krasnogorsk
08212573,,RUB,93261902,1.186,1.1759574643486637,6.05,42736000,moscow
71356986,,RUB,40454339,10.742,10.357268374182496,28.833333333333332,47117520,moscow
51932913,,RUB,22383534,2.813,2.2348549979855723,5.85,87074072,podolsk
07437078,,RUB,5462785,6.961,7.129751436062445,15.316666666666666,56108395,kostroma
80915827,,RUB,32152971,null,11.180444176736424,25.7,77020971,reutov
0512110,,RUB,729088,20.732,18.092827502747667,30.766666666666666,47064119,moscow
501152,,RUB,17721342,1.714,1.8038058640214978,6.3,35711323,moscow
92472,,RUB,96011964,11.73,12.110651351740742,13.233333333333333,23178449,himki
03198828,,RUB,02110926,17.187,17.201390340459746,25.416666666666668,6770356,krasnogorsk
73221971,,RUB,5993642,34.354,31.704324091395062,56.38333333333333,3521800,moscow
89205314,,RUB,75732898,13.43,14.605918113365375,25.316666666666666,74449563,moscow
70836529,,RUB,3123193,38.098,35.971363313722996,75.38333333333334,49904457,moscow
14435876,,RUB,54131153,14.53,14.691967341973255,19.05,62550985,moscow
87092766,,RUB,40371096,3.921,3.981472465864078,8.333333333333334,2610189,moscow
81255180,,RUB,75540182,null,35.948133989313085,76.75,46664221,svo
60656367,,RUB,96261212,null,6.004582015861118,21.616666666666667,97873954,moscow
71909025,,RUB,26025772,26.466,22.525794216789752,30.233333333333334,9163574,zvenigorod
59828083,,RUB,23235860,10.842,12.945844246096419,33.45,93654793,moscow
28786693,,RUB,96261212,null,4.473755506800933,19.333333333333332,25216889,moscow
3983192,,RUB,68130991,4.671,4.969256365446334,10.933333333333334,10804612,serpukhov
86965724,,RUB,40371096,9.767,9.722391505146781,15.95,14401010,moscow
05814776,,RUB,12700954,6.677,6.682921663081657,16.3,40819012,serpukhov
59347855,,RUB,71032566,1.411,1.4368882221296764,3.8333333333333335,9943280,moscow
56816557,,RUB,3536466,14.811,14.142701526583572,23.283333333333335,91931946,moscow
98586800,,RUB,66809212,null,2.560303044785471,10.216666666666667,99251227,krasnogorsk
80278806,,RUB,96011964,5.447,5.461704215441409,8.15,1198162,moscow
76941708,,RUB,65921239,null,1.3369708941121947,6.433333333333334,4962664,moscow
8246393,,RUB,3636635,null,2.191606160680838,7.466666666666667,16421646,moscow
34334856,,RUB,36931055,null,34.513367006341916,54.4,5083210,moscow
811559,,RUB,2233476,8.469,8.710203709007034,10.116666666666667,87410290,himki
9385033,,RUB,46395068,17.95,18.82314027317156,31.633333333333333,32789824,moscow
764128,,RUB,83844849,null,2.226745058205627,5.583333333333333,65757162,moscow
60326569,,RUB,40454339,13.554,4.828724464023728,18.483333333333334,914128,moscow
40561467,,RUB,74391989,39.902,37.15014411127988,64.68333333333334,31595903,ramenskoe
90940141,,RUB,52299060,14.426,14.195138138236958,26.15,72315620,moscow
7814974,,RUB,56872166,2.425,2.404678026909384,9.95,886617,moscow
18122393,,RUB,54727714,2.639,2.6686826982778995,8.65,01877492,moscow
5228985,,RUB,56829931,4.747,4.401539463839208,11.933333333333334,24956303,odincovo
95385953,,RUB,73632113,19.013,14.588610172314905,28.3,66562489,dolgoprudniy
86003457,,RUB,36098567,null,0.848105909331525,9.033333333333333,08531153,moscow
3658687,,RUB,92121386,6.007,6.0512017059899375,11.05,33477079,podolsk
96503918,,RUB,76028546,16.922,15.101526072407294,22.9,33455301,moscow
20405132,,RUB,668817,null,2.3396910851526265,7.25,47818252,moscow
2143567,,RUB,71032566,1.292,1.6487258744736388,5.666666666666667,33002720,moscow
