username,1_1,1_2,2_1,2_2,score
user_01_0008,92,76,85,48,301
user_01_0008,81,43,79,96,299
user_02_0020,93,65,89,,247
user_02_0007,77,89,75,,241
user_02_0017,55,95,82,,232
user_01_0001,95,75,51,,221
user_02_0001,61,64,42,49,216
user_02_0015,95,75,29,,199
user_03_0014,91,49,32,,172
user_02_0005,97,51,10,,158
user_03_0005,85,50,19,,154
user_03_0022,41,71,40,,152
user_02_0002,77,11,57,,145
user_02_0019,60,85,,,145
user_01_0005,72,,72,,144
user_03_0015,10,48,86,,144
user_03_0004,77,30,31,,138
user_03_0012,99,38,,,137
user_01_0006,61,,73,,134
user_01_0003,32,79,18,,129
user_02_0010,26,89,,13,128
user_02_0016,82,,34,,116
user_02_0009,13,3,99,,115
user_01_0009,27,,85,,112
user_03_0007,16,11,82,,109
user_01_0011,11,37,59,,107
user_01_0007,22,46,34,,102
user_03_0019,46,51,,,97
user_03_0016,95,,,,95
user_03_0017,95,,,,95
user_03_0008,3,86,,,89
user_03_0009,21,20,44,,85
user_02_0008,83,,,,83
user_02_0014,83,,,,83
user_03_0011,83,,,,83
user_02_0011,6,74,,,80
user_02_0012,11,66,,,77
user_02_0010,19,55,,,74
user_02_0018,67,,,,67
user_03_0006,66,,,,66
user_03_0021,66,,,,66
user_03_0020,64,,,,64
user_02_0003,59,,,,59
user_02_0006,17,30,12,,59
user_03_0013,36,20,,,56
user_03_0003,50,,,,50
user_03_0018,49,,,,49
user_02_0004,39,,,,39
user_01_0012,11,26,,,37
user_03_0001,33,,,,33
user_02_0013,31,,,,31
user_01_0002,27,,3,,30
user_03_0010,4,2,16,,22
user_01_0004,15,,,,15
